C1,C3,C4,C5,C6,C8,C10,C11,C12,C13,C15,C17,C18,C19,C20,C24,C29,C30,C32,C33,C43,C46,SigmaM6,Sigslope,Tau,SigtotM6
0.14274,0,-0.144,-0.00989,0.17,-0.68744,5.6,8.57343,1.414,0,-2.552,-2.56592,1.7818,0.554,0.01545,-0.49963,0.27315,-0.23,0.2,0.26,-0.33716,-0.03255,0.4871,-0.1011,0.2677,0.5558
0.07713,0,-0.144,-0.00898,0.17,-0.73728,5.6,8.08611,1.414,0,-2.552,-2.49894,1.7818,0.554,0.0159,-0.43223,0.3873,-0.23,0.2,0.26,-0.31036,-0.0325,0.5099,-0.0259,0.2469,0.5666
1.2205,0.03,-0.144,-0.00914,0.17,-0.93059,5.58,8.69303,1.414,0,-2.707,-2.55903,1.7818,0.554,0.01821,-0.52504,0.27879,-0.28,0.2,0.26,-0.49068,-0.03441,0.5297,-0.0703,0.3139,0.6157
1.53365,0.028,-0.144,-0.00903,0.17,-0.96506,5.5,9.304,1.414,-0.0011,-2.655,-2.61372,1.7818,0.554,0.01737,-0.61452,0.28619,-0.28,0.2,0.26,-0.460604,-0.03594,0.5401,-0.0292,0.3017,0.6187
1.22565,-0.0138,-0.144,-0.00975,0.17,-0.75855,5.1,10.41628,1.414,-0.0027,-2.528,-2.70038,1.7818,0.554,0.01531,-0.65966,0.34064,-0.245,0.2,0.26,-0.31282,-0.03823,0.5599,0.0172,0.2583,0.6166
0.21124,-0.036,-0.144,-0.01032,0.17,-0.524,4.8,9.21783,1.414,-0.0036,-2.454,-2.47356,1.7818,0.554,0.01304,-0.56604,0.53213,-0.195,0.2,0.198,-0.07565,-0.03535,0.5456,-0.0566,0.1967,0.58
-0.10541,-0.0518,-0.144,-0.00941,0.17,-0.50802,4.52,8.0115,1.414,-0.0043,-2.401,-2.30457,1.7818,0.554,0.01426,-0.33169,0.63272,-0.16,0.2,0.154,0.17615,-0.03354,0.5556,-0.1064,0.1802,0.584
-0.1426,-0.0635,-0.144,-0.00878,0.17,-0.52214,4.3,7.87495,1.414,-0.0048,-2.36,-2.31991,1.7818,0.554,0.01277,-0.24374,0.58809,-0.121,0.2,0.119,0.34775,-0.03211,0.5658,-0.1123,0.144,0.5839
-0.65968,-0.0862,-0.144,0.00802,0.17,-0.47264,3.9,7.26785,1.414,-0.0057,-2.286,-2.2846,1.7818,0.554,0.01055,-0.01583,0.50708,-0.05,0.2,0.057,0.7238,-0.02857,0.5611,-0.0836,0.1871,0.5915
-0.51404,-0.102,-0.144,-0.00647,0.17,-0.58672,3.7,6.98741,1.414,-0.0064,-2.234,-2.28256,1.7818,0.554,0.00927,0.02009,0.33002,0,0.2,0.013,0.89239,-0.025,0.5573,-0.062,0.2073,0.5946
-0.95399,-0.12,-0.144,-0.00713,0.17,-0.49268,3.55,6.77543,1.414,-0.0073,-2.16,-2.27895,1.7818,0.554,0.00748,-0.07051,0.07445,0.04,0.2,-0.049,0.77743,-0.02008,0.5419,0.0385,0.2405,0.5929
-1.24167,-0.12,-0.144,-0.00713,0.17,-0.49268,3.55,6.48775,1.414,-0.0073,-2.16,-2.27895,1.7818,0.554,0.00748,-0.07051,0.07445,0.04,0.2,-0.049,0.77743,-0.02008,0.5419,0.0385,0.2405,0.5929
-1.5657,-0.1726,-0.144,-0.00623,0.17,-0.52257,3.5,5.05424,1.414,-0.0089,-2.033,-2.0556,1.7818,0.554,-0.00273,-0.23967,0.09869,0.04,0.2,-0.156,0.60938,-0.01587,0.5809,0.1403,0.2053,0.6161
