lon,lat,siteclass
172.3,-43.7,C
172.3,-43.6,C
172.3,-43.5,C
172.3,-43.4,C
172.3,-43.3,C
172.4,-43.7,C
172.4,-43.6,C
172.4,-43.5,C
172.4,-43.4,C
172.4,-43.3,C
172.5,-43.7,C
172.5,-43.6,C
172.5,-43.5,C
172.5,-43.4,C
172.5,-43.3,C
172.6,-43.7,C
172.6,-43.6,C
172.6,-43.5,C
172.6,-43.4,C
172.6,-43.3,C
172.7,-43.7,C
172.7,-43.6,C
172.7,-43.5,C
172.7,-43.4,C
172.7,-43.3,C
172.8,-43.7,C
172.8,-43.6,C
172.8,-43.5,C
172.8,-43.4,C
172.8,-43.3,C
172.9,-43.7,C
172.9,-43.6,C
172.9,-43.5,C
172.9,-43.4,C
172.9,-43.3,C
